Date,Bookings
2023-01-01,6
2023-01-02,19
2023-01-03,14
2023-01-04,10
2023-01-05,7
2023-01-06,20
2023-01-07,6
2023-01-08,18
2023-01-09,10
2023-01-10,10
2023-01-11,20
2023-01-12,3
2023-01-13,7
2023-01-14,2
2023-01-15,20
2023-01-16,1
2023-01-17,11
2023-01-18,5
2023-01-19,1
2023-01-20,20
2023-01-21,0
2023-01-22,11
2023-01-23,11
2023-01-24,16
2023-01-25,9
2023-01-26,15
2023-01-27,14
2023-01-28,14
2023-01-29,18
2023-01-30,11
2023-01-31,19
2023-02-01,2
2023-02-02,4
2023-02-03,18
2023-02-04,6
2023-02-05,20
2023-02-06,8
2023-02-07,6
2023-02-08,17
2023-02-09,3
2023-02-10,13
2023-02-11,17
2023-02-12,8
2023-02-13,20
2023-02-14,1
2023-02-15,19
2023-02-16,14
2023-02-17,6
2023-02-18,11
2023-02-19,7
2023-02-20,14
2023-02-21,2
2023-02-22,13
2023-02-23,16
2023-02-24,3
2023-02-25,17
2023-02-26,7
2023-02-27,3
2023-02-28,1
2023-03-01,5
2023-03-02,9
2023-03-03,3
2023-03-04,17
2023-03-05,11
2023-03-06,1
2023-03-07,9
2023-03-08,3
2023-03-09,13
2023-03-10,15
2023-03-11,14
2023-03-12,7
2023-03-13,13
2023-03-14,7
2023-03-15,20
2023-03-16,15
2023-03-17,12
2023-03-18,17
2023-03-19,14
2023-03-20,20
2023-03-21,12
2023-03-22,8
2023-03-23,14
2023-03-24,12
2023-03-25,0
2023-03-26,6
2023-03-27,8
2023-03-28,0
2023-03-29,11
2023-03-30,7
2023-03-31,10
2023-04-01,18
2023-04-02,16
2023-04-03,7
2023-04-04,2
2023-04-05,2
2023-04-06,0
2023-04-07,4
2023-04-08,9
2023-04-09,6
2023-04-10,8
2023-04-11,6
2023-04-12,8
2023-04-13,7
2023-04-14,11
2023-04-15,1
2023-04-16,0
2023-04-17,15
2023-04-18,4
2023-04-19,2
2023-04-20,11
2023-04-21,7
2023-04-22,2
2023-04-23,0
2023-04-24,2
2023-04-25,4
2023-04-26,14
2023-04-27,13
2023-04-28,2
2023-04-29,0
2023-04-30,4
2023-05-01,13
2023-05-02,6
2023-05-03,8
2023-05-04,14
2023-05-05,14
2023-05-06,9
2023-05-07,12
2023-05-08,18
2023-05-09,6
2023-05-10,16
2023-05-11,19
2023-05-12,3
2023-05-13,4
2023-05-14,6
2023-05-15,12
2023-05-16,14
2023-05-17,10
2023-05-18,3
2023-05-19,12
2023-05-20,6
2023-05-21,18
2023-05-22,1
2023-05-23,9
2023-05-24,12
2023-05-25,20
2023-05-26,5
2023-05-27,11
2023-05-28,11
2023-05-29,19
2023-05-30,10
2023-05-31,6
2023-06-01,0
2023-06-02,0
2023-06-03,19
2023-06-04,12
2023-06-05,8
2023-06-06,2
2023-06-07,6
2023-06-08,5
2023-06-09,7
2023-06-10,8
2023-06-11,4
2023-06-12,0
2023-06-13,18
2023-06-14,9
2023-06-15,11
2023-06-16,14
2023-06-17,8
2023-06-18,19
2023-06-19,16
2023-06-20,16
2023-06-21,19
2023-06-22,11
2023-06-23,6
2023-06-24,1
2023-06-25,2
2023-06-26,16
2023-06-27,4
2023-06-28,16
2023-06-29,16
2023-06-30,16
2023-07-01,1
2023-07-02,1
2023-07-03,4
2023-07-04,0
2023-07-05,0
2023-07-06,18
2023-07-07,1
2023-07-08,20
2023-07-09,11
2023-07-10,5
2023-07-11,3
2023-07-12,10
2023-07-13,16
2023-07-14,5
2023-07-15,4
2023-07-16,19
2023-07-17,1
2023-07-18,5
2023-07-19,10
2023-07-20,15
2023-07-21,15
2023-07-22,0
2023-07-23,8
2023-07-24,5
2023-07-25,15
2023-07-26,2
2023-07-27,19
2023-07-28,3
2023-07-29,18
2023-07-30,2
2023-07-31,18
2023-08-01,19
2023-08-02,6
2023-08-03,19
2023-08-04,8
2023-08-05,0
2023-08-06,7
2023-08-07,6
2023-08-08,17
2023-08-09,7
2023-08-10,0
2023-08-11,10
2023-08-12,17
2023-08-13,9
2023-08-14,2
2023-08-15,6
2023-08-16,15
2023-08-17,15
2023-08-18,19
2023-08-19,16
2023-08-20,1
2023-08-21,0
2023-08-22,15
2023-08-23,11
2023-08-24,4
2023-08-25,4
2023-08-26,8
2023-08-27,8
2023-08-28,2
2023-08-29,18
2023-08-30,15
2023-08-31,15
2023-09-01,2
2023-09-02,19
2023-09-03,0
2023-09-04,19
2023-09-05,10
2023-09-06,16
2023-09-07,7
2023-09-08,3
2023-09-09,5
2023-09-10,7
2023-09-11,19
2023-09-12,2
2023-09-13,15
2023-09-14,2
2023-09-15,17
2023-09-16,13
2023-09-17,17
2023-09-18,1
2023-09-19,2
2023-09-20,15
2023-09-21,8
2023-09-22,3
2023-09-23,0
2023-09-24,3
2023-09-25,0
2023-09-26,13
2023-09-27,20
2023-09-28,15
2023-09-29,19
2023-09-30,7
2023-10-01,6
2023-10-02,2
2023-10-03,16
2023-10-04,0
2023-10-05,15
2023-10-06,11
2023-10-07,18
2023-10-08,13
2023-10-09,5
2023-10-10,5
2023-10-11,12
2023-10-12,18
2023-10-13,7
2023-10-14,1
2023-10-15,20
2023-10-16,0
2023-10-17,14
2023-10-18,0
2023-10-19,4
2023-10-20,15
2023-10-21,18
2023-10-22,3
2023-10-23,2
2023-10-24,16
2023-10-25,16
2023-10-26,11
2023-10-27,13
2023-10-28,20
2023-10-29,5
2023-10-30,2
2023-10-31,8
2023-11-01,4
2023-11-02,16
2023-11-03,13
2023-11-04,20
2023-11-05,2
2023-11-06,0
2023-11-07,19
2023-11-08,20
2023-11-09,0
2023-11-10,2
2023-11-11,17
2023-11-12,9
2023-11-13,2
2023-11-14,7
2023-11-15,13
2023-11-16,17
2023-11-17,14
2023-11-18,1
2023-11-19,9
2023-11-20,1
2023-11-21,16
2023-11-22,7
2023-11-23,0
2023-11-24,8
2023-11-25,10
2023-11-26,15
2023-11-27,6
2023-11-28,9
2023-11-29,2
2023-11-30,17
2023-12-01,12
2023-12-02,6
2023-12-03,3
2023-12-04,12
2023-12-05,19
2023-12-06,0
2023-12-07,7
2023-12-08,13
2023-12-09,15
2023-12-10,13
2023-12-11,11
2023-12-12,18
2023-12-13,14
2023-12-14,1
2023-12-15,1
2023-12-16,18
2023-12-17,16
2023-12-18,19
2023-12-19,9
2023-12-20,5
2023-12-21,14
2023-12-22,10
2023-12-23,4
2023-12-24,0
2023-12-25,7
2023-12-26,20
2023-12-27,11
2023-12-28,11
2023-12-29,4
2023-12-30,6
2023-12-31,3
